saida,arquivo_original,modo,rotacao,folga
bicicleta-masculina-03,IMG_5702.jpeg,enquadrar,0,0.10
bicicleta-masculina-04,IMG_5701.jpeg,enquadrar,0,0.10
poltrona-pallet-01,IMG_5716.heic,enquadrar,0,0.06
poltrona-pallet-02,IMG_5718.heic,enquadrar,0,0.06
rack-quadrinhos-01,IMG_5719.heic,enquadrar,0,0.05
rack-quadrinhos-02,IMG_5720.heic,enquadrar,0,0.05
armario-turquesa-01,IMG_5723.heic,enquadrar,0,0.05
armario-turquesa-02,IMG_5722.heic,enquadrar,0,0.05
armario-turquesa-03,IMG_5721.heic,enquadrar,0,0.05
gabinete-haf-xb-01,IMG_5951.heic,cutout,0,
gabinete-haf-xb-02,IMG_5947.heic,cutout,0,
gabinete-haf-xb-03,IMG_5949.heic,cutout,0,
gabinete-haf-xb-04,IMG_5954.heic,enquadrar,0,0.05
gabinete-haf-xb-05,IMG_5955.heic,enquadrar,0,0.05
teclado-logitech-gpro-04,IMG_5958.heic,enquadrar,0,0.05
mouse-logitech-g903-01,IMG_5959.heic,enquadrar,0,0.05
mouse-logitech-g903-02,IMG_5961.heic,cutout,0,
mouse-logitech-g903-03,IMG_5960.heic,cutout,0,
controle-xbox-series-01,IMG_5962.heic,cutout,0,
controle-xbox-series-02,IMG_5963.heic,cutout,0,
controle-xbox-series-03,IMG_5964.heic,enquadrar,0,0.05
fone-jbl-01,IMG_5968.heic,cutout,0,
fone-jbl-02,IMG_5966.heic,cutout,0,
fone-jbl-03,IMG_5967.heic,cutout,0,
controle-xbox-360-01,IMG_5970.heic,cutout,0,
placa-mae-x370-taichi-01,IMG_5976.heic,enquadrar,0,0.05
placa-mae-x370-taichi-02,IMG_5972.heic,cutout,0,
placa-mae-x370-taichi-03,IMG_5974.heic,enquadrar,0,0.05
placa-mae-x370-taichi-04,IMG_5978.heic,cutout,0,
ssd-xpg-512gb-01,IMG_5980.heic,cutout,270,
ryzen-7-1800x-01,IMG_5986.heic,cutout,270,
ryzen-7-1800x-02,IMG_5983.heic,cutout,270,
suporte-notebook-01,IMG_5988.heic,cutout,0,
suporte-notebook-02,IMG_5989.heic,enquadrar,0,0.05
hd-externo-seagate-2tb-01,IMG_5990.heic,cutout,0,
hd-externo-seagate-2tb-02,IMG_5991.heic,cutout,270,
placa-video-gtx-1080ti-01,IMG_5992.heic,enquadrar,0,0.05
placa-video-gtx-1080ti-02,IMG_5993.heic,cutout,0,
