slug,nome,categoria,quantidade,preco,preco_referencia,fonte_referencia,status,descricao,preco_cartao,link_pagamento
bicicleta-masculina,Bicicleta Masculina FKS SPEC MTB aro 29,Esporte e Bike,1,1286,,,disponivel,"Mountain bike FKS SPEC aro 29 em amarelo neon, quadro de alumínio com freio a disco nas duas rodas e suspensão dianteira. Câmbio Shimano de 21 marchas, guidão reto e selim acolchoado. Acompanha garrafa com suporte, pedais de plataforma e descanso lateral. Bem conservada, pronta para pedalar.",,
suporte-crianca,Cadeirinha de bicicleta para criança,Esporte e Bike,1,242,,,disponivel,"Cadeirinha para transporte de criança na bicicleta, com cinto de segurança e apoio para os pés. Fotos em breve: chame no WhatsApp que envio na hora. Em estado de uso, sem detalhes.",,
capacete-rockrider,Capacete Rockrider Decathlon tamanho 59 a 62,Esporte e Bike,1,187,,,disponivel,"Capacete de ciclismo Rockrider (Decathlon), tamanho 59-62cm (adulto G). Ajuste giratório na nuca, boa ventilação, sem trincas ou quedas. Cor cinza/azul.",,
gancho-bike-decathlon,Gancho Decathlon de parede e teto para bicicleta,Esporte e Bike,2,45,49.99,Decathlon Brasil,disponivel,"Suporte gancho Decathlon para pendurar a bicicleta na parede ou no teto. Suporta até 25kg, compatível com bikes de 16 a 29 polegadas e elétricas. Novo, ainda na embalagem. Preço por unidade.",,
cadeiras-pingo,Cadeira Pingo com assento gota e pés de madeira,Casa,4,246,295.65,Móveis do Limar,disponivel,Cadeira design Pingo com assento em polipropileno no formato gota e pés de madeira maciça com estrutura metálica cruzada. Suporta até 120kg. Disponíveis 2 turquesa e 2 vermelhas. Sem rachaduras ou manchas. Preço por unidade.,,
lego-game-boy,LEGO Game Boy 72046 lacrado,Brinquedos,1,474,,,disponivel,"Set LEGO Game Boy (72046) com 421 peças, indicado para 18+. Caixa LACRADA, nunca aberta. Réplica do Game Boy clássico com cartuchos montáveis. Item de colecionador.",,
bolsa-trader-joes,Bolsa Trader Joe's de lona importada,Acessórios,4,109,,,disponivel,"Sacola reutilizável Trader Joe's original, trazida dos EUA. Lona resistente com fundo e alças reforçadas em azul-marinho, bolso interno. Novas, com etiqueta. Preço por unidade.",,
cheirinhos-little-trees,Cheirinho Little Trees pack com 3,Acessórios,4,34,37.90,Mercado Livre,disponivel,"Aromatizante Little Trees original importado, pack com 3 unidades lacrado. Disponíveis: 2 packs Black Ice, 1 Supernova e 1 Caribbean Colada. Preço por pack.",,
abafador-howard-leight-kit,Abafador Eletrônico Howard Leight + óculos + estojo,Tiro Esportivo,1,246,649,Bazar Militar,disponivel,"Protetor auricular eletrônico Howard Leight Impact Sport (Honeywell), que amplifica sons ambientes e corta o ruído de impacto. Acompanha óculos de proteção lente amarela e estojo rígido. Funcionando, pilhas testadas. Em estado de uso, sem detalhes.",,
abafador-howard-leight,Abafador Eletrônico Howard Leight + estojo,Tiro Esportivo,1,188,649,Bazar Militar,disponivel,"Protetor auricular eletrônico Howard Leight Impact Sport (Honeywell), dobrável, com estojo rígido. Amplificação de som ambiente e corte automático de ruído. Funcionando, pilhas testadas.",,
oculos-protetor-3m,Óculos de proteção + protetor auricular 3M + estojo,Tiro Esportivo,1,58,,,disponivel,"Óculos de proteção com lente transparente antirrisco, protetor auricular 3M com cordão em caixinha própria e bolsa de tecido + estojo rígido. Conjunto completo de EPI.",,
kit-limpeza,Kit de limpeza e manutenção,Tiro Esportivo,1,69,99,CopShop Brasil,disponivel,"Kit completo de limpeza e manutenção em estojo de madeira: hastes, escovas de cerdas e latão, escovilhões, ponteiras e frascos de óleo lubrificante e solvente. Pouco usado.",,
memoria-corsair-ddr4-16gb,Memória Corsair Vengeance LPX 16GB DDR4 2400MHz,PC e Hardware,2,593,1079.90,KaBuM,disponivel,"Memória Corsair Vengeance LPX DDR4 de 16GB, 2400MHz, CL14 (14-16-16-31), 1.20V, part number CMK16GX4M1A2400C14. Dissipador de alumínio em perfil baixo, compatível com qualquer cooler. São duas unidades idênticas, do mesmo lote: levando as duas você fecha 32GB em dual channel. Testadas e funcionando, sem erro de memória. Preço por pente. Em estado de uso, sem detalhes.",,
fonte-corsair-rm850i,Fonte Corsair RM850i 850W 80 Plus Gold Modular,PC e Hardware,1,644,831.99,KaBuM (RM850e),disponivel,"Fonte Corsair RM850i, 850W reais, certificação 80 Plus Gold e cabeamento totalmente modular. Linha RMi, superior à RMe atual: traz monitoramento digital por USB via Corsair Link (tensão, corrente, temperatura e rotação em tempo real) e capacitores japoneses. Acompanha a bolsa original com todos os cabos modulares e o cabo de força. Ventoinha silenciosa com modo zero RPM em baixa carga. Funcionando perfeitamente.",,
watercooler-masterliquid-240,Water Cooler Cooler Master MasterLiquid 240,PC e Hardware,1,395,,,disponivel,"Water cooler all-in-one Cooler Master MasterLiquid 240, radiador de 240mm com bomba de dupla câmara e perfil baixo. Acompanha a caixa original, o espumado interno e os suportes de instalação. Refrigeração líquida fechada, sem manutenção. As duas ventoinhas do radiador vão à parte: o kit Corsair SP140 que também está no bazar encaixa direto. Em estado de uso, sem detalhes.",,
fans-corsair-sp140,Kit Corsair SP140 RGB PRO com 2 ventoinhas 140mm e Lighting Node CORE,PC e Hardware,1,316,,,disponivel,"Kit Corsair SP140 RGB PRO com duas ventoinhas de 140mm RGB endereçáveis e a controladora Lighting Node CORE, tudo na caixa original. Cada ventoinha tem 8 LEDs RGB independentes, controlados pelo software iCUE. Alta pressão estática, indicadas para radiador de water cooler ou entrada de ar do gabinete. Acompanha os cabos e os parafusos.",,
hd-wd-purple-2tb,HD WD Purple 2TB SATA 3.5 para CFTV,PC e Hardware,1,296,582,Net Computadores (WD22PURZ),disponivel,"HD Western Digital Purple de 2TB, modelo WD20PURX, SATA com 64MB de cache. A linha Purple é feita para gravação 24/7 em DVR e NVR de câmeras, então é um disco projetado para trabalhar sem parar. Fabricado em 2015. Rodo o teste SMART e mando o print antes da compra, com horas ligadas e setores realocados, para você comprar sabendo exatamente o que está levando. Em estado de uso, sem detalhes.",,
hd-seagate-3tb,HD Seagate Desktop 3TB SATA 3.5,PC e Hardware,1,395,,,disponivel,"HD Seagate Desktop de 3TB, modelo ST3000DM003, SATA 3.5 polegadas. Bastante espaço por pouco dinheiro, bom para armazenamento em massa, backup e biblioteca de mídia. Rodo o teste SMART e mando o print antes da compra, para você conferir a saúde do disco antes de fechar. Em estado de uso, sem detalhes.",,
hd-toshiba-1tb,"HD Toshiba 1TB 2.5 para notebook, 5400RPM",PC e Hardware,1,128,,,vendido,"HD Toshiba de 1TB no formato 2.5 polegadas, modelo MQ01ABD100, SATA 5400RPM. Serve para notebook ou para montar um HD externo com um case USB. Fabricado em 2015. Rodo o teste SMART e mando o print antes da compra. Boa opção de capacidade barata para guardar arquivos. Em estado de uso, sem detalhes.",,
ssd-corsair-240gb,SSD Corsair Force LE 240GB SATA 3,PC e Hardware,1,128,,,disponivel,"SSD Corsair Force LE de 240GB, SATA 3, formato 2.5 polegadas, part number CSSD-F240GBLEB. Ótimo para dar sobrevida a um PC ou notebook mais antigo trocando o HD mecânico pelo SSD: o boot e a abertura de programas ficam muito mais rápidos. Funcionando, sem setores defeituosos. Acompanha a caixa original. Em estado de uso, sem detalhes.",,
caneca-stanley,Caneca Térmica Stanley Beer Stein 709ml nova lacrada,Casa,1,164,189,Rei dos Parafusos,disponivel,"Caneca térmica Stanley Beer Stein de 709ml (24oz), linha Adventure ""The Big Grip"", em aço inox com isolamento a vácuo e cor branca (Polar). Mantém a bebida gelada por 5 horas, e por 20 horas com gelo. NOVA, lacrada na caixa original, nunca usada. Modelo já fora de linha na Stanley Brasil, só se acha em estoque remanescente de revenda.",,
poltrona-pallet,Poltrona de pallet com rodízios e estofado pop art,Casa,2,350,460,Pallet SP,disponivel,"Poltrona de um lugar feita sobre pallet de madeira maciça envernizada, montada em quatro rodízios, então dá para mudar de canto sem esforço. Almofadas soltas de assento e encosto em tecido colorido com estampa pop art. São duas unidades iguais, ótimas para varanda, home office ou canto de leitura. Preço por unidade; levando as duas, faço preço melhor. Em estado de uso, sem detalhes.",,
rack-quadrinhos,Rack aparador de madeira maciça com tampo de quadrinhos,Casa,1,549,,,disponivel,"Rack aparador em madeira maciça com acabamento nogueira, sobre rodízios industriais. Tem duas gavetas com puxadores metálicos tipo alça, dois nichos abertos com prateleira e um vão inferior. O tampo é de vidro sobre uma colagem de quadrinhos feita à mão, uma peça única, não existe outra igual. Serve de rack de TV, aparador de entrada ou bancada de apoio. Em estado de uso, sem detalhes.",,
armario-turquesa,Armário baixo azul turquesa com porta de vidro,Casa,1,399,,,disponivel,"Armário baixo em madeira pintada de azul turquesa com pátina envelhecida, cerca de 1 metro de largura, sobre rodízios. De um lado, porta com vidro e prateleira interna; do outro, três prateleiras abertas. Estilo provençal, em que a pátina é justamente o charme da peça. Bom para sala, cozinha ou como aparador de louças. Em estado de uso, sem detalhes.",,
xbox-series-s,Xbox Series S 512GB com 1 controle,Eletrônicos,1,1300,,,vendido,Console Xbox Series S de 512GB com um controle sem fio. Vendido antes de entrar no catálogo.,,
placa-video-gtx-1080ti,Placa de Vídeo EVGA GeForce GTX 1080 Ti Founders Edition 11GB,PC e Hardware,1,1450,,,disponivel,"Placa de vídeo EVGA GeForce GTX 1080 Ti Founders Edition, 11GB GDDR5X e barramento de 352 bits, a placa topo de linha da geração Pascal. Carcaça de metal com cooler blower, que joga o ar quente para fora do gabinete, boa notícia em gabinete apertado. Ainda entrega jogo em 1440p com folga e serve muito bem para renderização e CUDA. Acompanha a CAIXA ORIGINAL com o berço plástico e o adaptador de energia. Nunca foi usada em mineração. Testo junto com você na hora da retirada, ligada e rodando. Em estado de uso, sem detalhes.",1530,https://pag.ae/827bFfSb5
placa-mae-x370-taichi,"Placa-Mãe ASRock X370 Taichi AM4 com Wi-Fi, SLI e CrossFire",PC e Hardware,1,680,,,disponivel,"Placa-mãe ASRock X370 Taichi, socket AM4, formato ATX. É a linha topo da ASRock na época: VRM reforçado de 12 fases, dois slots M.2 (um deles Ultra M.2 32Gb/s), 8 portas SATA3, Wi-Fi 802.11ac com antena, áudio Purity Sound 4 e suporte a NVIDIA SLI e AMD CrossFireX. Aceita do Ryzen de 1ª geração até o 5000 com a BIOS atualizada, o que a torna uma base barata para montar ou reformar uma máquina AM4. Acompanha a caixa original, e o painel traseiro de conexões está fotografado em detalhe para você conferir cada porta antes de vir buscar. Combina direto com o Ryzen 7 1800X que também está no bazar.",,
ryzen-7-1800x,Processador AMD Ryzen 7 1800X AM4 de 8 núcleos e 16 threads,PC e Hardware,1,430,,,disponivel,"Processador AMD Ryzen 7 1800X: 8 núcleos e 16 threads, 3.6 GHz de base e 4.0 GHz de turbo, socket AM4, 16MB de cache L3, multiplicador destravado para overclock. Foi o carro-chefe da AMD no lançamento do Ryzen e continua muito capaz para edição de vídeo, compilação, virtualização e streaming, tarefas que se beneficiam de muitos threads. Não acompanha cooler, porque o 1800X sempre foi vendido sem. Funcionando perfeitamente, sem pino torto. Fecha o kit com a X370 Taichi que também está no bazar. Em estado de uso, sem detalhes.",,
gabinete-haf-xb,Gabinete Cooler Master HAF XB EVO cubo ATX com alças,PC e Hardware,1,599,,,disponivel,"Gabinete Cooler Master HAF XB EVO (RC-902XB), o cubo horizontal que também funciona como bancada de testes. Suporta placas ATX, tem duas alças de transporte, gaveta de placa-mãe removível (você monta a máquina na mesa e depois encaixa), duas baias hot-swap de 3.5 polegadas na frente e espaço para radiador de 240mm no topo. Aceita placa de vídeo longa: a GTX 1080 Ti que está aqui no bazar entra sem apertar. Modelo descontinuado e muito procurado por quem monta PC de LAN ou bancada. Vai completo, com as duas alças, o painel frontal e os parafusos, e ACOMPANHA A CAIXA ORIGINAL, o que ajuda muito se você precisar transportar ou revender depois. Em estado de uso, sem detalhes.",,
ssd-xpg-512gb,SSD XPG SX8100 512GB M.2 NVMe de 3500 MB/s,PC e Hardware,1,399,,,vendido,"SSD ADATA XPG SX8100 de 512GB, M.2 2280 NVMe PCIe Gen3x4, part number ASX8100NP-512GT-C, conferido na etiqueta e legível nas fotos. Leitura de até 3500 MB/s e gravação de até 3000 MB/s, memória 3D TLC com cache DRAM, bem acima do que entregam os NVMe de entrada sem DRAM. Funcionando, sem setores realocados; rodo o teste de saúde e mando o print antes da compra. Vale saber que os preços de SSD subiram muito desde o fim de 2025 por causa da demanda de memória para IA: hoje um NVMe novo de 512GB não sai por menos de R$ 620 na KaBuM, e é por isso que este aqui vale a pena. Em estado de uso, sem detalhes.",,
hd-externo-seagate-2tb,HD Externo Seagate Portable 2TB USB 3.0,PC e Hardware,1,299,,,vendido,"HD externo portátil Seagate de 2TB, USB 3.0, formato 2.5 polegadas. Não precisa de fonte: liga só no cabo USB. Funciona direto no Windows, no Mac e em console, e é o tamanho certo para backup de fotos, biblioteca de filmes ou levar projeto de um lugar para o outro. Rodo o teste SMART e mando o print antes de fechar. Em estado de uso, sem detalhes.",,
mouse-logitech-g903,Mouse Gamer Logitech G903 LIGHTSPEED sem fio,Eletrônicos,1,399,861.71,KaBuM,disponivel,"Mouse gamer Logitech G903 LIGHTSPEED, sem fio, com sensor de alta precisão, botões laterais configuráveis e formato ambidestro, já que dá para trocar os botões de lado. A conexão LIGHTSPEED da Logitech tem latência de mouse com fio, a mesma tecnologia da linha PRO usada em campeonato. Recarregável, e compatível com o mouse pad de carga POWERPLAY, que não acompanha. Acompanha a CAIXA ORIGINAL, o cabo trançado de recarga, o adaptador extensor USB e os painéis laterais magnéticos que trocam a configuração dos botões, que é o que deixa o mouse ambidestro. Modelo conferido na etiqueta da base: G903 LIGHTSPEED, P/N 810-006667, legível na foto. Funcionando, sem clique duplo. Em estado de uso, sem detalhes.",,
controle-xbox-series,Controle Xbox Series X|S sem fio Carbon Black,Eletrônicos,1,299,,,disponivel,"Controle sem fio do Xbox Series X|S na cor Carbon Black (modelo 1914), o mais recente da Microsoft. Funciona no Xbox Series X|S, no Xbox One, no PC via Bluetooth ou receptor, e no celular. Tem o botão de compartilhamento dedicado, direcional híbrido e pegada emborrachada nos gatilhos. Todos os botões e os dois analógicos testados, sem drift. Usa duas pilhas AA (não acompanham).",,
fone-jbl,Fone de Ouvido JBL Bluetooth Over-Ear com cabo destacável,Eletrônicos,1,299,,,vendido,"Fone de ouvido JBL over-ear, com a concha cobrindo a orelha inteira, dobrável, em preto com acabamento cromado. Tem controles na própria concha para volume, play e atender chamada, e microfone embutido, ou seja, funciona sem fio por Bluetooth para música e ligação. Acompanha o ESTOJO RÍGIDO de transporte e o cabo trançado destacável com controle em linha, então também funciona ligado na entrada P2 de qualquer aparelho, sem depender da bateria. Em estado de uso, sem detalhes.",,
controle-xbox-360,Controle Xbox 360 sem fio preto original Microsoft,Eletrônicos,1,150,,,vendido,"Controle sem fio original da Microsoft para Xbox 360, preto. É original de fábrica, com a durabilidade e a precisão de analógico que só o original entrega. Acompanha o pacote de BATERIA RECARREGÁVEL e o cabo USB de recarga, então você não precisa ficar comprando pilha, é só plugar. Serve também no PC com o receptor sem fio de Xbox 360, que não acompanha. Todos os botões e os analógicos funcionando. Em estado de uso, sem detalhes.",,
suporte-tablet,Suporte de Mesa ECOODA para Tablet em alumínio com base giratória 360°,Casa,1,55,,,disponivel,"Suporte de mesa para tablet da ECOODA, em alumínio maciço. A base é quadrada e pesada, com disco giratório de 360°, então dá para virar a tela para quem está do outro lado da mesa sem levantar o aparelho. O braço é articulado em duas juntas e dobra por completo, deixando o suporte plano para guardar ou viajar. A altura e o ângulo de inclinação são ajustáveis, e o apoio é forrado para não riscar. Serve para tablet e iPad de qualquer tamanho até uns 13 polegadas, e também para celular e leitor. Nas fotos ele aparece com um Galaxy Tab S9 FE+ de 12,4 polegadas encaixado, que é justamente o tablet que também está à venda aqui no bazar. Em estado de uso, sem detalhes.",,
fire-tv-stick,Fire TV Stick Lite com controle Alexa por voz,Eletrônicos,1,160,,,vendido,"Amazon Fire TV Stick Lite, modelo S3L46N, o aparelho que transforma qualquer TV com entrada HDMI em Smart TV. Roda Netflix, Prime Video, Disney+, YouTube, Globoplay, Spotify e o que mais você quiser instalar. Vídeo em 1080p Full HD a 60 quadros, com suporte a HDR10, HDR10+ e HLG. Acompanha o controle remoto original Alexa Voice Remote Lite, com comando de voz, mais a fonte de alimentação original, o cabo micro USB e o extensor HDMI, que salva quando a traseira da TV é apertada. Vale saber: o controle da versão Lite não traz os botões de volume e de liga e desliga da TV, então para isso você segue usando o controle da própria TV. Testo ligado junto com você na hora da retirada. Em estado de uso, sem detalhes.",,
