id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,quantity_to_sell_on_facebook
"capacete-rockrider","Capacete Rockrider Decathlon — tam. 59-62","Capacete de ciclismo Rockrider (Decathlon), tamanho 59-62cm (adulto G). Ajuste giratório na nuca, boa ventilação, sem trincas ou quedas. Cor cinza/azul. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","189.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-capacete-rockrider","https://vieiradiego.github.io/bazar-do-diego/fotos/capacete-rockrider-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/capacete-rockrider-02.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/capacete-rockrider-03.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/capacete-rockrider-04.jpg","Bazar do Diego","1"
"teclado-logitech-k400","Teclado Logitech K400 Plus sem fio com touchpad","Teclado sem fio Logitech K400 Plus com touchpad integrado — perfeito para usar com Smart TV ou PC na sala. Cor preta, receptor USB unifying incluso. Funcionando perfeitamente. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","149.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-teclado-logitech-k400","https://vieiradiego.github.io/bazar-do-diego/fotos/teclado-logitech-k400-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/teclado-logitech-k400-02.jpg","Bazar do Diego","1"
"bolsa-trader-joes","Bolsa Trader Joe's — sacola de lona importada","Sacola reutilizável Trader Joe's original, trazida dos EUA. Lona resistente com fundo e alças reforçadas em azul-marinho, bolso interno. Novas, com etiqueta. Preço por unidade. Disponíveis: 4 unidades (preço por unidade). Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","147.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-bolsa-trader-joes","https://vieiradiego.github.io/bazar-do-diego/fotos/bolsa-trader-joes-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/bolsa-trader-joes-02.jpg","Bazar do Diego","4"
"teclado-hp-slim","Teclado HP slim USB empresarial","Teclado HP slim com fio USB, layout ABNT2 completo com teclado numérico. Perfil baixo, digitação silenciosa. Linha empresarial, bem conservado e funcionando. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","99.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-teclado-hp-slim","https://vieiradiego.github.io/bazar-do-diego/fotos/teclado-hp-slim-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/teclado-hp-slim-02.jpg","Bazar do Diego","1"
"kit-limpeza","Kit de limpeza e manutenção","Kit completo de limpeza e manutenção em estojo de madeira: hastes, escovas de cerdas e latão, escovilhões, ponteiras e frascos de óleo lubrificante e solvente. Pouco usado. Novo custa cerca de R$ 99 (CopShop Brasil) — aqui sai por R$ 70, 29% abaixo. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","70.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-kit-limpeza","https://vieiradiego.github.io/bazar-do-diego/fotos/kit-limpeza-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/kit-limpeza-02.jpg","Bazar do Diego","1"
"oculos-protetor-3m","Óculos de proteção + protetor auricular 3M + estojo","Óculos de proteção com lente transparente antirrisco, protetor auricular 3M com cordão em caixinha própria e bolsa de tecido + estojo rígido. Conjunto completo de EPI. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","59.90 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-oculos-protetor-3m","https://vieiradiego.github.io/bazar-do-diego/fotos/oculos-protetor-3m-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/oculos-protetor-3m-02.jpg","Bazar do Diego","1"
"mouse-logitech-pebble","Mouse Logitech Pebble 2 M350s sem fio","Mouse sem fio Logitech Pebble 2 M350s com clique silencioso e design slim ambidestro. Conexão Bluetooth. Compacto, ideal para levar na mochila junto com o notebook. Novo custa cerca de R$ 99,90 (KaBuM) — aqui sai por R$ 49, 51% abaixo. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","49.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-mouse-logitech-pebble","https://vieiradiego.github.io/bazar-do-diego/fotos/mouse-logitech-pebble-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/mouse-logitech-pebble-02.jpg","Bazar do Diego","1"
"gancho-bike-decathlon","Gancho de parede e teto para bicicleta — Decathlon","Suporte gancho Decathlon para pendurar a bicicleta na parede ou no teto. Suporta até 25kg, compatível com bikes de 16 a 29 polegadas e elétricas. Novo, ainda na embalagem. Preço por unidade. Novo custa cerca de R$ 49,99 (Decathlon Brasil) — aqui sai por R$ 45,90, 8% abaixo. Disponíveis: 2 unidades (preço por unidade). Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","45.90 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-gancho-bike-decathlon","https://vieiradiego.github.io/bazar-do-diego/fotos/gancho-bike-decathlon-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/gancho-bike-decathlon-02.jpg","Bazar do Diego","2"
"mouse-c3tech","Mouse sem fio C3 Tech M-W20BK","Mouse sem fio C3 Tech M-W20BK, 2.4GHz com receptor USB, 1000dpi, cor preta. Botão de ajuste de DPI. Funcionando perfeitamente. Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","39.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-mouse-c3tech","https://vieiradiego.github.io/bazar-do-diego/fotos/mouse-c3tech-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/mouse-c3tech-02.jpg","Bazar do Diego","1"
"cheirinhos-little-trees","Cheirinho Little Trees — pack com 3","Aromatizante Little Trees original importado, pack com 3 unidades lacrado. Disponíveis: 2 packs Black Ice, 1 Supernova e 1 Caribbean Colada. Preço por pack. Novo custa cerca de R$ 37,90 (Mercado Livre) — aqui sai por R$ 35, 8% abaixo. Disponíveis: 4 unidades (preço por unidade). Retirada em Caxias do Sul — RS. Pagamento em dinheiro ou Pix na retirada.","in stock","used","35.00 BRL","https://vieiradiego.github.io/bazar-do-diego/#item-cheirinhos-little-trees","https://vieiradiego.github.io/bazar-do-diego/fotos/cheirinhos-little-trees-01.jpg","https://vieiradiego.github.io/bazar-do-diego/fotos/cheirinhos-little-trees-02.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/cheirinhos-little-trees-03.jpg,https://vieiradiego.github.io/bazar-do-diego/fotos/cheirinhos-little-trees-04.jpg","Bazar do Diego","4"
